idade,renda_mensal,divida_existente,score_serasa,tempo_emprego_meses,num_emprestimos_ativos,genero,estado_civil,escolaridade,tipo_moradia,default
52,5796.29,13526.58,656,117,2,Feminino,Divorciado,Pós-graduação,Alugada,0
18,4884.18,19788.73,567,162,3,Feminino,Divorciado,Médio,Financiada,0
52,3529.77,15942.08,784,222,3,Masculino,Divorciado,Superior,Financiada,0
54,4628.15,24180.37,303,79,0,Feminino,Solteiro,Superior,Financiada,1
64,1801.21,7010.09,777,57,1,Masculino,Divorciado,Superior,Propria,0
31,9554.17,18501.67,420,169,4,Masculino,Solteiro,Pós-graduação,Alugada,0
20,2530.98,6261.88,785,156,1,Feminino,Solteiro,Superior,Financiada,0
18,2936.07,15659.24,518,156,4,Masculino,Casado,Superior,Financiada,1
22,4119.48,20182.33,577,136,2,Feminino,Casado,Superior,Financiada,1
43,7576.15,13498.48,556,77,2,Feminino,Divorciado,Médio,Financiada,0
31,5029.02,18857.89,603,120,3,Masculino,Casado,Médio,Alugada,0
56,2527.73,8281.87,342,71,1,Masculino,Solteiro,Superior,Alugada,1
44,7508.68,3354.17,829,1,0,Masculino,Solteiro,Médio,Propria,0
26,6462.0,18899.21,887,202,4,Feminino,Divorciado,Superior,Financiada,0
32,6076.87,27208.07,449,1,2,Masculino,Divorciado,Fundamental,Alugada,1
32,6431.47,8027.69,893,110,4,Masculino,Divorciado,Médio,Alugada,0
43,9788.72,23555.36,309,145,0,Masculino,Solteiro,Superior,Propria,1
59,9370.19,15303.96,511,68,4,Masculino,Solteiro,Superior,Financiada,0
30,3626.57,5650.16,559,121,3,Masculino,Divorciado,Superior,Propria,0
68,8247.77,7079.46,681,184,0,Masculino,Divorciado,Superior,Financiada,0
49,5766.34,15110.49,688,198,0,Masculino,Solteiro,Médio,Alugada,1
56,5998.19,12168.76,635,150,4,Masculino,Casado,Superior,Alugada,0
66,1615.46,5809.61,304,18,4,Feminino,Solteiro,Médio,Financiada,1
69,4659.23,3141.73,382,18,2,Feminino,Casado,Fundamental,Financiada,0
49,3374.35,9072.96,305,185,4,Masculino,Divorciado,Fundamental,Alugada,1
21,6656.12,16356.66,451,111,0,Feminino,Solteiro,Médio,Alugada,0
47,7142.16,14955.19,480,210,4,Feminino,Divorciado,Fundamental,Alugada,1
54,851.03,11491.33,466,176,2,Feminino,Divorciado,Médio,Propria,1
40,4955.93,16413.21,769,172,1,Masculino,Divorciado,Médio,Propria,1
56,7243.72,22280.19,377,231,3,Feminino,Viúvo,Médio,Propria,0
62,4626.64,17758.89,711,27,0,Feminino,Viúvo,Superior,Propria,1
32,6458.13,14150.84,853,74,2,Masculino,Solteiro,Superior,Financiada,0
60,5702.33,21496.5,873,49,3,Masculino,Viúvo,Pós-graduação,Financiada,0
46,5683.32,8281.05,680,138,4,Feminino,Solteiro,Pós-graduação,Alugada,1
53,4457.37,13425.56,612,54,4,Feminino,Casado,Pós-graduação,Financiada,0
30,2566.84,13592.38,694,136,1,Feminino,Solteiro,Superior,Financiada,0
49,2756.94,6341.33,842,141,4,Masculino,Viúvo,Fundamental,Financiada,0
24,6418.71,12060.88,303,225,3,Masculino,Viúvo,Pós-graduação,Propria,1
68,5038.92,475.28,408,220,2,Feminino,Casado,Superior,Financiada,1
39,4722.98,28385.25,392,112,1,Feminino,Casado,Superior,Financiada,1
45,4152.22,8438.1,398,148,3,Masculino,Solteiro,Pós-graduação,Alugada,0
19,4389.62,26102.8,491,47,2,Masculino,Solteiro,Superior,Propria,1
59,7093.82,15266.59,632,57,3,Masculino,Divorciado,Superior,Alugada,0
62,4329.51,18954.05,511,196,4,Feminino,Divorciado,Médio,Alugada,1
23,2317.87,11578.4,894,224,3,Feminino,Solteiro,Médio,Propria,1
45,6487.3,16455.51,506,136,1,Masculino,Casado,Superior,Propria,1
45,4590.25,19553.43,872,194,3,Masculino,Solteiro,Superior,Propria,0
61,5062.79,19651.87,655,205,0,Feminino,Divorciado,Pós-graduação,Alugada,0
61,8215.16,20423.41,552,17,4,Feminino,Casado,Pós-graduação,Alugada,1
37,4958.88,12421.67,890,11,3,Feminino,Divorciado,Pós-graduação,Propria,0
47,5578.37,11637.48,495,214,2,Feminino,Solteiro,Pós-graduação,Alugada,0
28,2642.15,3840.77,561,205,4,Feminino,Solteiro,Superior,Financiada,0
45,4560.66,18662.53,621,123,2,Feminino,Viúvo,Superior,Alugada,0
42,6219.05,22576.65,719,15,1,Masculino,Solteiro,Superior,Propria,1
56,1889.25,26311.87,797,164,0,Masculino,Viúvo,Médio,Alugada,1
50,5401.69,17136.21,631,147,3,Masculino,Viúvo,Médio,Alugada,0
18,5201.58,9634.64,595,19,4,Feminino,Viúvo,Superior,Propria,0
44,5082.57,3120.33,535,142,3,Feminino,Viúvo,Pós-graduação,Financiada,0
69,7074.32,22291.67,306,232,3,Masculino,Divorciado,Pós-graduação,Propria,1
30,5668.88,2426.06,833,24,4,Feminino,Solteiro,Fundamental,Alugada,0
58,7956.14,12615.77,371,144,0,Masculino,Solteiro,Médio,Financiada,1
20,3012.82,13429.85,799,11,0,Masculino,Solteiro,Médio,Financiada,1
56,5271.85,14513.81,438,108,1,Masculino,Viúvo,Médio,Alugada,1
23,5168.93,15250.62,685,169,4,Masculino,Divorciado,Fundamental,Propria,1
25,2861.49,15967.03,841,38,4,Masculino,Divorciado,Médio,Financiada,1
44,6912.59,0.0,623,183,2,Feminino,Viúvo,Superior,Propria,0
26,9649.35,15102.59,372,180,2,Masculino,Viúvo,Médio,Alugada,0
54,4965.99,0.0,688,70,2,Feminino,Solteiro,Pós-graduação,Propria,0
50,6010.04,20125.53,537,199,0,Feminino,Divorciado,Superior,Propria,1
68,5169.04,11114.12,621,215,1,Masculino,Casado,Fundamental,Propria,0
59,3572.83,0.0,640,46,1,Feminino,Casado,Pós-graduação,Financiada,0
61,1358.48,9300.57,604,24,3,Masculino,Casado,Pós-graduação,Alugada,1
41,3588.45,11009.47,307,212,1,Feminino,Casado,Pós-graduação,Financiada,1
32,2216.08,23334.9,506,177,2,Feminino,Viúvo,Superior,Financiada,0
49,8408.2,16376.46,710,117,4,Feminino,Solteiro,Pós-graduação,Alugada,0
49,4769.78,17411.11,557,32,3,Masculino,Casado,Superior,Financiada,1
41,4308.16,23268.55,345,201,0,Feminino,Solteiro,Médio,Financiada,1
58,6778.31,14326.99,425,213,1,Masculino,Solteiro,Superior,Propria,0
69,2756.5,20279.32,320,210,4,Feminino,Divorciado,Superior,Financiada,1
66,3466.27,19787.03,469,28,2,Feminino,Casado,Superior,Alugada,1
66,5136.14,5994.71,843,2,0,Feminino,Solteiro,Superior,Alugada,0
69,7057.54,25310.89,715,38,0,Masculino,Divorciado,Médio,Financiada,0
29,6003.37,5057.89,754,3,1,Feminino,Viúvo,Médio,Financiada,0
56,5496.65,21421.57,505,164,4,Feminino,Solteiro,Superior,Propria,0
19,5156.24,4380.49,632,94,2,Masculino,Solteiro,Médio,Financiada,0
20,5800.47,19208.66,320,133,2,Feminino,Divorciado,Médio,Propria,0
66,5403.31,28033.4,364,219,2,Masculino,Solteiro,Médio,Propria,1
54,2940.06,13509.15,876,137,2,Feminino,Viúvo,Médio,Financiada,1
66,5092.16,13205.51,387,11,1,Feminino,Viúvo,Superior,Financiada,1
34,2852.62,19273.08,778,237,1,Masculino,Divorciado,Médio,Alugada,0
66,5162.17,12694.22,342,117,4,Feminino,Casado,Superior,Financiada,1
19,4038.7,27727.95,440,65,3,Masculino,Solteiro,Médio,Alugada,1
19,10078.76,16345.35,673,130,1,Feminino,Solteiro,Pós-graduação,Propria,0
45,4920.21,12758.81,815,192,2,Masculino,Casado,Fundamental,Propria,0
40,2191.52,11218.0,799,63,4,Masculino,Viúvo,Médio,Financiada,1
54,4731.64,8469.36,578,34,2,Masculino,Solteiro,Superior,Alugada,0
49,6038.72,10605.72,625,151,1,Feminino,Divorciado,Superior,Alugada,1
50,8346.73,12545.29,717,174,4,Feminino,Divorciado,Superior,Alugada,0
18,3821.1,11586.53,852,111,2,Masculino,Divorciado,Pós-graduação,Propria,0
36,1835.14,10392.77,607,51,3,Masculino,Solteiro,Fundamental,Alugada,0
19,6633.67,29691.89,606,33,0,Feminino,Casado,Superior,Propria,0
61,2238.8,7789.33,769,83,0,Feminino,Solteiro,Médio,Propria,0
43,4127.69,16026.43,483,79,2,Feminino,Casado,Médio,Financiada,0
49,4484.76,19147.65,590,221,0,Feminino,Casado,Superior,Financiada,0
23,4860.73,19410.76,548,110,3,Masculino,Solteiro,Fundamental,Propria,1
49,6378.33,14589.75,623,230,3,Masculino,Viúvo,Fundamental,Financiada,1
21,3632.73,13315.08,742,152,2,Feminino,Casado,Superior,Financiada,1
28,4452.54,18160.83,358,196,3,Masculino,Solteiro,Médio,Propria,0
34,4971.46,16865.65,568,156,0,Masculino,Viúvo,Superior,Propria,1
55,5299.2,13187.29,617,228,2,Masculino,Viúvo,Fundamental,Alugada,1
41,5195.65,4066.85,393,91,0,Feminino,Solteiro,Pós-graduação,Alugada,0
22,5872.01,11724.53,553,191,3,Feminino,Solteiro,Superior,Financiada,1
69,6687.68,6974.15,759,180,3,Feminino,Viúvo,Superior,Financiada,0
51,5785.27,10329.88,814,185,4,Masculino,Solteiro,Superior,Propria,0
23,5907.17,15232.56,832,40,1,Feminino,Viúvo,Superior,Alugada,0
39,1835.55,17511.15,403,86,1,Feminino,Viúvo,Médio,Alugada,1
28,5100.46,27463.17,701,223,2,Masculino,Viúvo,Superior,Propria,1
65,5959.02,11238.16,632,237,0,Feminino,Divorciado,Superior,Propria,0
33,6457.88,20422.38,392,50,1,Masculino,Solteiro,Superior,Propria,0
50,3615.3,17141.72,856,125,2,Masculino,Divorciado,Pós-graduação,Alugada,1
26,3681.92,24071.98,873,145,3,Feminino,Solteiro,Médio,Propria,0
23,3851.8,19033.6,841,40,1,Feminino,Casado,Fundamental,Financiada,0
33,6072.83,7940.63,736,98,0,Feminino,Divorciado,Médio,Alugada,0
46,7067.76,2938.68,309,188,4,Masculino,Solteiro,Pós-graduação,Propria,0
20,4185.08,17178.83,755,106,4,Masculino,Solteiro,Fundamental,Financiada,1
37,6815.92,11300.84,714,23,1,Feminino,Viúvo,Superior,Alugada,0
53,5246.96,8137.8,817,46,4,Feminino,Casado,Pós-graduação,Propria,0
36,4751.43,6126.96,674,27,2,Feminino,Casado,Superior,Financiada,0
43,4577.23,16126.83,830,35,0,Masculino,Solteiro,Médio,Propria,0
20,6493.22,25553.95,823,20,3,Masculino,Casado,Médio,Financiada,1
36,5651.16,12139.29,672,183,0,Masculino,Casado,Médio,Alugada,1
37,9551.65,19131.89,738,68,3,Masculino,Divorciado,Pós-graduação,Alugada,0
49,3295.55,14284.14,494,153,4,Masculino,Casado,Médio,Alugada,1
24,6036.2,5974.33,564,181,2,Masculino,Casado,Pós-graduação,Propria,0
69,3941.6,20143.68,806,214,3,Feminino,Viúvo,Médio,Alugada,1
58,3261.43,7337.16,725,43,4,Feminino,Viúvo,Pós-graduação,Financiada,1
50,4978.27,15151.39,398,160,3,Feminino,Divorciado,Médio,Propria,1
57,5274.7,12609.36,329,153,1,Masculino,Solteiro,Médio,Financiada,0
56,10836.35,21251.54,590,120,0,Masculino,Viúvo,Médio,Financiada,1
35,4631.71,7592.94,874,149,2,Feminino,Divorciado,Médio,Financiada,1
57,2739.64,17736.09,786,147,4,Masculino,Casado,Superior,Propria,0
18,5546.02,9121.42,705,1,2,Masculino,Divorciado,Superior,Financiada,1
28,850.72,11422.26,327,40,0,Masculino,Viúvo,Médio,Financiada,1
45,4816.09,0.0,445,53,3,Feminino,Casado,Médio,Alugada,0
42,5032.05,29644.69,587,184,3,Feminino,Divorciado,Pós-graduação,Propria,1
67,6589.2,18853.9,880,145,2,Feminino,Viúvo,Médio,Alugada,1
40,6947.24,9628.57,551,132,3,Masculino,Divorciado,Médio,Financiada,0
48,3992.86,7127.41,461,223,3,Feminino,Solteiro,Superior,Financiada,0
47,4698.77,11530.46,409,45,3,Masculino,Casado,Superior,Propria,1
59,3467.76,20018.16,697,74,1,Feminino,Divorciado,Médio,Financiada,1
52,2743.87,1755.41,570,148,4,Feminino,Divorciado,Médio,Propria,0
24,5619.79,14008.91,487,149,4,Feminino,Casado,Pós-graduação,Financiada,0
33,2452.83,27394.49,831,2,0,Masculino,Viúvo,Pós-graduação,Financiada,0
43,4170.75,7062.38,575,8,3,Masculino,Divorciado,Superior,Alugada,1
65,3009.65,15562.7,546,1,2,Masculino,Viúvo,Médio,Financiada,1
69,6099.37,30423.17,623,237,3,Masculino,Solteiro,Pós-graduação,Alugada,1
66,8602.86,19425.06,317,27,0,Masculino,Casado,Superior,Alugada,0
19,2396.82,15881.47,707,33,3,Masculino,Viúvo,Superior,Financiada,1
18,1293.96,18546.46,710,180,1,Feminino,Viúvo,Superior,Alugada,1
65,4750.23,12193.94,424,58,0,Masculino,Viúvo,Pós-graduação,Propria,1
29,5031.4,24097.42,619,9,4,Feminino,Solteiro,Médio,Alugada,1
22,5437.32,12204.69,452,82,4,Feminino,Casado,Médio,Propria,1
54,4107.36,1285.73,880,92,1,Feminino,Viúvo,Pós-graduação,Alugada,0
49,4598.72,12260.88,856,1,4,Feminino,Viúvo,Superior,Alugada,1
26,5735.02,8232.86,319,47,1,Feminino,Solteiro,Pós-graduação,Alugada,1
58,7080.86,13031.64,546,133,4,Masculino,Casado,Superior,Financiada,1
52,1089.9,13186.41,689,43,4,Masculino,Divorciado,Fundamental,Financiada,1
36,4262.12,23381.96,646,181,3,Feminino,Casado,Médio,Financiada,0
65,5427.62,19867.05,775,198,0,Masculino,Divorciado,Médio,Financiada,0
33,3164.05,16842.86,502,35,4,Masculino,Solteiro,Pós-graduação,Propria,1
20,8462.34,14979.38,308,135,0,Masculino,Divorciado,Pós-graduação,Alugada,0
37,3729.18,7587.99,830,82,0,Feminino,Solteiro,Superior,Financiada,0
41,4917.41,0.0,402,9,4,Masculino,Divorciado,Superior,Alugada,1
50,6112.04,15792.12,545,160,0,Feminino,Solteiro,Médio,Financiada,0
41,3817.43,20562.49,896,228,1,Feminino,Casado,Médio,Propria,1
69,1306.85,14241.66,618,101,2,Feminino,Casado,Médio,Alugada,1
28,4142.69,11256.02,650,218,1,Masculino,Divorciado,Pós-graduação,Propria,1
66,7058.88,18251.52,533,92,4,Feminino,Casado,Médio,Financiada,0
25,4326.21,14416.67,336,18,1,Masculino,Divorciado,Pós-graduação,Alugada,1
53,3307.13,26800.21,644,17,2,Masculino,Solteiro,Pós-graduação,Financiada,1
55,6851.34,23629.1,591,114,1,Feminino,Viúvo,Médio,Financiada,0
57,4338.45,21716.56,316,178,0,Feminino,Solteiro,Pós-graduação,Propria,1
37,3979.68,20304.14,389,22,4,Feminino,Viúvo,Pós-graduação,Propria,1
52,5298.91,5968.83,647,128,0,Feminino,Casado,Superior,Alugada,0
65,6541.5,19640.96,743,58,0,Masculino,Casado,Superior,Financiada,0
42,9763.43,17634.28,552,106,4,Feminino,Divorciado,Superior,Alugada,0
52,6654.47,19244.97,892,130,4,Masculino,Divorciado,Superior,Alugada,0
42,7319.68,18448.27,483,9,3,Feminino,Viúvo,Superior,Financiada,1
46,3988.07,18169.34,589,122,2,Feminino,Solteiro,Pós-graduação,Propria,0
35,2948.26,33906.07,514,198,0,Masculino,Viúvo,Médio,Alugada,1
63,5124.66,14466.7,457,48,0,Masculino,Viúvo,Médio,Alugada,0
35,5214.34,21554.36,692,55,4,Masculino,Solteiro,Superior,Alugada,0
19,2842.97,11703.07,319,89,4,Masculino,Divorciado,Médio,Financiada,1
52,4649.41,20534.49,770,143,1,Feminino,Casado,Pós-graduação,Alugada,0
33,5798.64,21575.24,730,38,0,Feminino,Casado,Superior,Propria,1
58,5720.79,17550.98,367,108,0,Feminino,Divorciado,Superior,Propria,1
53,6008.58,26684.73,376,95,4,Masculino,Viúvo,Pós-graduação,Financiada,1
50,5581.93,8810.07,401,203,0,Feminino,Divorciado,Médio,Financiada,0
21,3985.98,11589.45,884,43,2,Masculino,Viúvo,Médio,Financiada,1
50,3972.2,16486.66,506,7,3,Masculino,Casado,Pós-graduação,Financiada,1
31,2602.1,21165.65,512,135,4,Feminino,Viúvo,Superior,Propria,1
38,8569.55,16256.01,378,44,4,Masculino,Casado,Pós-graduação,Financiada,1
65,5026.9,24000.31,412,138,0,Masculino,Casado,Pós-graduação,Alugada,1
37,4550.29,10368.17,432,96,3,Masculino,Viúvo,Médio,Propria,1
25,3142.42,7015.95,496,152,3,Masculino,Casado,Superior,Financiada,1
24,10871.32,17156.9,324,16,4,Masculino,Divorciado,Pós-graduação,Financiada,0
20,2853.34,14459.74,771,222,4,Masculino,Viúvo,Médio,Alugada,1
